Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Code preview (product.metafields.custom.code_preview),Demo URL (product.metafields.custom.demo_url),Faq list (product.metafields.custom.faq_list),Hide expert install (product.metafields.custom.hide_expert_install),Installation hours (product.metafields.custom.installation_hours),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
countdown-bar-for-shopify-urgency-banner-for-higher-sales,Countdown Bar for Shopify - Urgency Banner for Higher Sales,"<div>
<div>
<span>Increase</span><span> </span><span>urgency</span><span> </span><span>with</span><span> </span><span>a</span><span> </span><span>customizable</span><span> </span><span>countdown</span><span> </span><span>bar</span><span> </span><span>for</span><span> </span><span>promotions,</span><span> </span><span>drops,</span><span> </span><span>and</span><span> </span><span>limited-time</span><span> </span><span>offers.</span><span> </span><span>Built</span><span> </span><span>for</span><span> </span><span>Shopify</span><span> </span><span>Online</span><span> </span><span>Store</span><span> </span><span>2.0</span><span> </span><span>with</span><span> </span><span>theme-safe</span><span> </span><span>styling.</span>
</div>
</div>",SnippetsHub Solutions for your business,Software > Computer Software > Multimedia & Design Software > Web Design Software,Announcement Bar,"",false,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,29.99,49.99,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0950/3906/2389/files/ChatGPT_Image_27_lis_2025_16_23_07.png?v=1770904351,1,"",false,,,,,,,,,kg,,,draft
announcement-bar-gradient,Animated Gradient Announcement Bar,<p>Stylowy pasek ogłoszeń z animowanym gradientem i responsywnym układem. Idealny do promocji lub ogłoszeń w sklepie Shopify.</p>,SnippetsHub,,Announcement Bar,"Announcement, CSS, HTML, JS, UI",false,Title,Default Title,,,,,,,,SH-AB-001,0.0,,100,deny,manual,9.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/FFFFFF.svg?v=1772778071,1,"",false,,,,,,,,,kg,,,draft
announcement-bar-timer,Countdown Promo Bar,"<p>Pasek ogłoszeń z wbudowanym timerem odliczającym do końca promocji. Łatwy w konfiguracji, działa bez frameworków.</p>",SnippetsHub,,Announcement Bar,"Countdown, CSS, HTML, JS, Promo",false,Title,Default Title,,,,,,,,SH-AB-002,0.0,,100,deny,manual,12.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/FFFFFF_f500a4c9-9572-486d-88d5-b199fbcff951.svg?v=1770904368,1,"",false,,,,,,,,,kg,,,draft
announcement-bar-scroll,Smart Scroll Bar,"<p>Inteligentny pasek ogłoszeń, który zmienia wygląd po przewinięciu strony. Doskonały UX i lekki kod.</p>",SnippetsHub,,Announcement Bar,"CSS, HTML, Scroll, UX",false,Title,Default Title,,,,,,,,SH-AB-003,0.0,,99,deny,manual,8.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/FFFFFF_dc76aff8-11f8-432c-ac50-2654b0bceb10.svg?v=1770904367,1,"",false,,,,,,,,,kg,,,draft
cta-liquid-button,Animated Liquid CTA Button,<p>Nowoczesny przycisk CTA z animacją efektu cieczy. Świetny do landing page’y i sekcji sprzedażowych.</p>,SnippetsHub,,CTA Button,"Animation, Button, CSS, CTA, GSAP, HTML",false,Title,Default Title,,,,,,,,SH-CTA-001,0.0,,100,deny,manual,7.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/000000.svg?v=1770904367,1,"",false,,,,,,,,,kg,,,draft
cta-floating-banner,Floating Sticky CTA Banner,<p>Pływający baner z przyciskiem CTA widoczny podczas scrollowania. Idealny do zachęcenia użytkownika do akcji.</p>,SnippetsHub,,CTA Banner,"CSS, CTA, HTML, JS, Sticky",false,Title,Default Title,,,,,,,,SH-CTA-002,0.0,,100,deny,manual,10.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/000000_ba19f91b-c97b-4e4a-b168-b538d6f9b15e.svg?v=1770904365,1,"",false,,,,,,,,,kg,,,draft
product-card-3d,3D Product Card,<p>Karta produktu z efektem 3D i animowanym cieniem reagującym na ruch myszy. Świetny wizualnie dodatek do galerii.</p>,SnippetsHub,,Product Card,"3D, Card, CSS, HTML, JS, Product",false,Title,Default Title,,,,,,,,SH-PC-001,0.0,,100,deny,manual,11.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/FFFFFF_17009cc9-8578-4365-865d-2a8e750143f3.svg?v=1770904364,1,"",false,,,,,,,,,kg,,,draft
product-card-glass,Glassmorphism Product Card,"<p>Minimalistyczna karta z efektem rozmycia (glassmorphism). Lekka, nowoczesna i bardzo estetyczna.</p>",SnippetsHub,,Product Card,"Card, CSS, Glassmorphism, HTML",false,Title,Default Title,,,,,,,,SH-PC-002,0.0,,100,deny,manual,9.49,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/FFFFFF_fe4bce2d-c552-4791-b875-0dea229c8792.svg?v=1770904364,1,"",false,,,,,,,,,kg,,,draft
loader-progress,Animated Page Loader,"<p>Elegancki loader strony inspirowany stylem Apple. Animacja CSS + JS, możliwość personalizacji kolorów.</p>",SnippetsHub,,Loader,"CSS, HTML, JS, Loader, Progress",false,Title,Default Title,,,,,,,,SH-LD-001,0.0,,100,deny,manual,6.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/FFFFFF_398a519c-1415-4498-a225-813304183e80.svg?v=1770904362,1,"",false,,,,,,,,,kg,,,draft
scroll-progress-bar,Scroll Progress Bar,<p>Pasek postępu przewijania u góry strony. Dodaje nowoczesny akcent i poprawia UX użytkownika.</p>,SnippetsHub,,Loader,"JS, Progress, Scroll, UX",false,Title,Default Title,,,,,,,,SH-LD-002,0.0,,100,deny,manual,5.99,,false,false,,,,,,https://cdn.shopify.com/s/files/1/0950/3906/2389/files/FFFFFF_809a12b9-475f-4ae3-8f12-8b184058ff28.svg?v=1770904361,1,"",false,,,,,,,,,kg,,,draft
